,number of Autoencoders,magic_telescope,pendigits,phoneme,waveform
174,175,0.9967172908133477,0.9997534516765285,0.83419843252417,0.824753257161086
175,176,0.9967145866491319,0.9997534516765285,0.8339268892660323,0.8246326575866858
176,177,0.996722333714182,0.9997534516765285,0.83396121355428,0.8245392901742469
177,178,0.9967348313379891,0.9997534516765285,0.8338689193569917,0.8246676703663504
178,179,0.9967231376548946,0.9997534516765285,0.8335935622890487,0.8248388439558216
179,180,0.996718021668541,0.9997534516765285,0.833510421235293,0.8249322113682604
180,181,0.9967145135636126,0.9997534516765285,0.8335981388608149,0.824784379631899
181,182,0.9967259149046297,0.9997534516765285,0.8333670219866135,0.8248582955000798
182,183,0.9967206527472373,0.9997534516765285,0.8332937968383516,0.824885527662041
183,184,0.9967254033059941,0.9997534516765285,0.8332335386434279,0.8249322113682604
184,185,0.9967306654633867,0.9997534516765285,0.8333159169352224,0.824998346618738
185,186,0.9967297884371545,0.9997534516765285,0.833161076257127,0.824947772603667
186,187,0.996731834831696,0.9997534516765285,0.833196926069297,0.8248777470443379
187,188,0.9967292768385193,0.9997534516765285,0.8332091302606739,0.8249399919859638
188,189,0.9967352698511052,0.9997534516765285,0.8334913521862665,0.8249866756921833
189,190,0.9967332965420829,0.9997534516765285,0.8336744150569211,0.8248310633381184
190,191,0.9967349044235082,0.9997534516765285,0.8335989016227761,0.8249127598240025
191,192,0.9967286190688451,0.9997534516765285,0.8335439827615797,0.8248933082797443
192,193,0.9967210912603532,0.9997534516765285,0.8338795980244467,0.8248894179708928
193,194,0.9967242339376848,0.9997534516765285,0.8340275738448923,0.8248621858089313
194,195,0.9967256225625523,0.9997534516765285,0.8342094925726055,0.8248116117938604
195,196,0.9967247455363202,0.9997534516765285,0.8341194866612003,0.8246637800574987
196,197,0.9967254763915135,0.9997534516765285,0.8344310749222936,0.824640438204389
197,198,0.9967224798852206,0.9997534516765285,0.8342708949104709,0.8247454765433829
198,199,0.9967196295499664,0.9997534516765285,0.8342945405312636,0.8246443285132408
199,200,0.9967243801087234,0.9997534516765285,0.8342636486718408,0.8245353998653953
